S No ,Medicine name,Salt Code,Salt name,Product ID,Product ID to be shown as Alternative,Note if same,Image link,Brand,MRP,Selling price,Discount,MRP of cheapest ,Savings ,Cheapest,Buy now button URL,Prescription required,Top Selling,Category,Sub Category,Packaging,Description,Storage,Side Effects,Precautions,Brand Code,Manufacturer address,Marketed by,Intro,Uses,Directions,Conten 4,Conten 5,Conten 6
109455,Axces 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A109455,A100462,,,Aurz Pharmaceuticals Pvt Ltd,36.61,29.29,20%,8,78%,No,Hi. Look Axces 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,217,,Aurz Pharmaceuticals Pvt Ltd,,,,d,e,f
135150,If 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A135150,A100462,,,Medisun Pharma,37,29.6,20%,8,78%,No,Hi. Look If 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,84,,Medisun Pharma,,,,d,e,f
107654,Ashycloflam 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A107654,A100462,,,Aishwarya Healthcare,38,30.4,20%,8,79%,No,Hi. Look Ashycloflam 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,72,,Aishwarya Healthcare,,,,d,e,f
101468,Aclopen 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A101468,A100462,,,Morepen Laboratories Limited,39,31.2,20%,8,79%,No,Hi. Look Aclopen 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,846,"218/19, Midas Sahar Plaza, M V Road, J B Nagar, Mumbai, Maharashtra 459",Morepen Laboratories Limited,,,,d,e,f
138343,Lekace 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A138343,A100462,,,Jb Chemicals,39.53,31.62,20%,8,80%,No,Hi. Look Lekace 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,669,,Jb Chemicals,,,,d,e,f
163208,Ultinac Sr 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A163208,A100462,,,Bio Vitamins,39.6,31.68,20%,8,80%,No,Hi. Look Ultinac Sr 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,276,"NO.45, FIRST FLOOR, 4TH CROSS, 7TH BLOCK JAYANAGAR BENGALURU Bangalore KA 567 IN",Bio Vitamins,,,,d,e,f
100708,Aceflam 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A100708,A100462,,,Micro Labs Ltd,40,32,20%,8,80%,No,Hi. Look Aceflam 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,83,"CTS No. 73, Saki Estate Off, Chandivali Road, Chandivali, Andheri East, Mumbai, Maharashtra 472",Micro Labs Ltd,,,,d,e,f
101413,Acloboot 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A101413,A100462,,,Boots Lifesciences Ltd,40,32,20%,8,80%,No,Hi. Look Acloboot 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,325,"NO.5, EVENING BAZAR PARKTOWN CHENNAI TN 63 IN",Boots Lifesciences Ltd,,,,d,e,f
100627,Aceclomax 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A100627,A100462,,,Betamax Remedies,41,32.8,20%,8,80%,No,Hi. Look Aceclomax 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,269,,Betamax Remedies,,,,d,e,f
100445,Ac 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A100445,A100462,,,Mmc Pharmaceuticals Ltd,43,34.4,20%,8,81%,No,Hi. Look Ac 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,836,,Mmc Pharmaceuticals Ltd,,,,d,e,f
123525,Cyclofen 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A123525,A100462,,,Zydus Cadila,44.2,35.36,20%,8,82%,No,Hi. Look Cyclofen 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,139,"5V74+4P2, Jay Prakash Nagar, Goregaon, Mumbai, Maharashtra 463",Zydus Cadila,,,,d,e,f
144259,Myofenac 100 MG Tablet  10,49,ACECLOFENAC (100 MG),A144259,A100462,,,Kinesis Pharmaceuticals Pvt. Ltd,47.62,38.1,20%,8,83%,No,Hi. Look Myofenac 100 MG Tablet  10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,696,"NO.87 & 96, Mohammed Hussain St, Kolathur, Chennai, Tamil Nadu",Kinesis Pharmaceuticals Pvt. Ltd,,,,d,e,f
104174,Alonac 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A104174,A100462,,,East West Pharma,48.2,38.56,20%,8,83%,No,Hi. Look Alonac 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,473,,East West Pharma,,,,d,e,f
100981,Acetazen 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A100981,A100462,,,Aretaeus Pharmaceuticals,48.81,39.05,20%,8,84%,No,Hi. Look Acetazen 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,174,,Aretaeus Pharmaceuticals,,,,d,e,f
100835,Acenac 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A100835,A100462,,https://url.mcro.site/cache/plugins/filepreviewer/6500/cf84c18e91cf0a7e95ad36cbfd7e33e861bc254eed7fe6d434a3f8d5647861b3/280x280_middle.jpg,Medley Pharmaceuticals,50,40,20%,8,84%,No,Hi. Look Acenac 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Acenac 1 MG Tablet 1 Works
 
Acenac Tablets are a type of non-steroidal anti-inflammatory drug (NSAID). It acts by preventing the release of pain and inflammation-causing chemical messengers (redness and swelling).",,"Side effects of Acenac 1 MG Tablet 1
 
The majority of side effects are minor and will go away as your body adjusts to Acenac Tablet. If they don't go away or you're concerned about them, see your doctor.
Adverse effects of Acenac Tablet
Vomiting,
Stomach pain/epigastric pain,
Nausea,
Indigestion,
Diarrhea,
Heartburn,
Loss of appetite",,812,"D2, Medley House, Rd Number 16, Area, Andheri East, Mumbai, Maharashtra 493",Medley Pharmaceuticals,"About Acenac 1 MG Tablet 1
 
Acenac Tablet is a pain reliever. Rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis all benefit from it since it reduces pain and inflammation.
Acenac Tablet should be taken according to your doctor's instructions for dosage and duration. To avoid stomach distress, it should be taken with food or milk. It is more effective if you take the medicine on a regular basis and at the appropriate periods. It's critical to continue taking the medicine until your doctor says it's safe to quit.","Uses of Acenac 1 MG Tablet 1
 
Acenac Tablet is used as Pain reliever","Directions to use Acenac 1 MG Tablet 1
 
Follow your doctor's instructions on the dosage and duration of Acenac Tablet. Take it all in at once. It should not be chewed, crushed, or broken. Acenac Tablet should be consumed after food.",d,e,f
100817,Acemiz 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A100817,A100462,,https://url.mcro.site/cache/plugins/filepreviewer/6495/52747694429c017fd66ed875eb0dd6a7d93d25159b0173f1f00d5f6840e2dc90/280x280_middle.jpg,Lupin Ltd,81,40.4,50%,8,90%,No,Hi. Look Acemiz 100 MG Tablet 10 is available at 50% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Acemiz 1 MG Tablet 1 Works
 
Acemiz 1mg Tablet is a non-steroidal anti-inflammatory medicine that acts by preventing the release of pain and inflammation-causing chemical messengers (redness and swelling).",,"Side effects of Acemiz 1 MG Tablet 1
 
The majority of side effects are minor and will go away as your body adjusts to the medicine. If they don't go away or you're concerned about them, see your doctor.
Adverse effects of Acemiz
Vomiting
Stomach pain/epigastric pain
Nausea
Indigestion
Diarrhea
Heartburn
Loss of appetit",,744,"Kalpataru Inspire, 3rd Floor, Off. Western Express Highway, Santacruz (East), Mumbai",Lupin Ltd,"About Acemiz 1 MG Tablet 1
 
Acemiz 1mg Tablet is a narcotic pain reliever. Rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis all benefit from it since it reduces pain and inflammation.
Acemiz 1mg Tablet should be taken according to your doctor's instructions for dosage and duration. To avoid stomach distress, it should be taken with food or milk. It is more effective if you take the medicine on a regular basis and at the appropriate periods. It is critical to continue taking the medicine until your doctor says it is safe to quit.","Uses of Acemiz 1 MG Tablet 1
 
Acemiz tablet is used as a Pain reliever","Directions to use Acemiz 1 MG Tablet 1
 
Follow your doctor's instructions on the dosage and duration of this medicine. Take it all in at once. It should not be chewed, crushed, or broken. Acemiz 1mg Tablet should be taken post meal.",d,e,f
126022,Dolowin 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A126022,A100462,,https://url.mcro.site/cache/plugins/filepreviewer/11741/d2758dd87476db21a01f8cf5e229200c79a568ed34ac00decedcb8a9c9f0afa1/280x280_middle.jpg,Micro Labs Ltd,51,40.8,20%,8,84%,No,Hi. Look Dolowin 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Dolowin 1 MG Tablet 1 Works
 
Dolowin Tablet is a non-steroidal anti-inflammatory drugs (NSAID) that acts by preventing the release of pain and inflammation-causing chemical messengers (redness and swelling).",,"Side effects of Dolowin 1 MG Tablet 1
 
The majority of side effects are minor and will go away as your body adjusts to Dolowin Tablet. If they don't go away or you're concerned about them, see your doctor.
Adverse effects of Dolowin Tablet
Vomiting,
Stomach pain/epigastric pain,
Nausea,
Indigestion,
Diarrhea,
Heartburn,
Loss of appetite",,83,"CTS No. 73, Saki Estate Off, Chandivali Road, Chandivali, Andheri East, Mumbai, Maharashtra 472",Micro Labs Ltd,"About Dolowin 1 MG Tablet 1
 
Dolowin Tablet is a pain reliever. Rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis all benefit from it since it reduces pain and inflammation.
Dolowin Tablet should be taken according to your doctor's instructions for dosage and duration. To avoid stomach distress, it should be taken with food or milk. It is more effective if you take the medicine on a regular basis and at the appropriate periods. It's critical to continue taking the medicine until your doctor says it's safe to quit.","Uses of Dolowin 1 MG Tablet 1
 
Dolowin Tablet is used as Pain reliever","Directions to use Dolowin 1 MG Tablet 1
 
Follow your doctor's instructions on the dosage and duration of Dolowin Tablet. Take it all in at once. It should not be chewed, crushed, or broken. Dolowin Tablets should be consumed after food.",d,e,f
166311,Xtra 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A166311,A100462,,,Elder Pharmaceuticals Ltd,51.01,40.81,20%,8,84%,No,Hi. Look Xtra 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,483,,Elder Pharmaceuticals Ltd,,,,d,e,f
167399,Zix 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A167399,A100462,,,Jenburkt Pharmaceuticals Ltd,52.25,41.8,20%,8,85%,No,Hi. Look Zix 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,67,"93, JP Rd, Azad Nagar, Andheri West, Mumbai, Maharashtra 458",Jenburkt Pharmaceuticals Ltd,,,,d,e,f
101053,Acez 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A101053,A100462,,,Crest Pharma Pvt Ltd,52.37,41.9,20%,8,85%,No,Hi. Look Acez 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,414,,Crest Pharma Pvt Ltd,,,,d,e,f
101186,Acigen 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A101186,A100462,,,Newgen Biotech Pvt. Ltd.,52.8,42.24,20%,8,85%,No,Hi. Look Acigen 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,869,,Newgen Biotech Pvt. Ltd.,,,,d,e,f
100570,Aceact 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A100570,A100462,,,Kaizen Pharma,55,44,20%,8,85%,No,Hi. Look Aceact 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,682,,Kaizen Pharma,,,,d,e,f
100620,Acecloflam 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A100620,A100462,,,Knoll Healthcare Pvt. Ltd.,55,44,20%,8,85%,No,Hi. Look Acecloflam 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,73,"M17, Pharma Tower,, Phase-1, Badli Industrial Area,, Badli, Delhi, 1142",Knoll Healthcare Pvt. Ltd.,,,,d,e,f
100611,Aceclo 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A100611,A100462,,https://url.mcro.site/cache/plugins/filepreviewer/6474/2d3c045b953ed95fdf464b9f5690a256cff07c056be94f2dc9dd77350a4b9890/280x280_middle.jpg,Aristo Pharmaceuticals Pvt.ltd,56,44.8,20%,8,86%,No,Hi. Look Aceclo 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,179,,Aristo Pharmaceuticals Pvt.ltd,,,,d,e,f
100709,Aceflam Forte 100/500 MG Tablet 10,49,ACECLOFENAC (100 MG),A100709,A100462,,,Micro Labs Ltd,58,46.4,20%,8,86%,No,Hi. Look Aceflam Forte 100/500 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,83,,Micro Labs Ltd,,,,d,e,f
166935,Zerodol 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A166935,A100462,,https://url.mcro.site/cache/plugins/filepreviewer/27441/30b3fa69ed07111b29309e7f371c03332daa6976102ead3ba0cd4852df5c751e/280x280_middle.jpg,Ipca Laboratories Pvt Ltd.,59.3,47.44,20%,8,87%,No,Hi. Look Zerodol 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,661,,Ipca Laboratories Pvt Ltd.,,,,d,e,f
102179,Adenate 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A102179,A100462,,,Chicky Pharma Pvt. Ltd,61.4,49.12,20%,8,87%,No,Hi. Look Adenate 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,381,,Chicky Pharma Pvt. Ltd,,,,d,e,f
149374,Pace 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A149374,A100462,,,Commonwealth Pharmaceuticals,62,49.6,20%,8,87%,No,Hi. Look Pace 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,41,,Commonwealth Pharmaceuticals,,,,d,e,f
134335,Hifenac 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A134335,A100462,,https://url.mcro.site/cache/plugins/filepreviewer/15031/22483f763c456e4b7bf46ee96f1d42bb306f93283c2e9e0bb91351e81a03d034/280x280_middle.jpg,Intas Pharmaceuticals Ltd,62.5,50,20%,8,87%,No,Hi. Look Hifenac 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Hifenac 1 MG Tablet 1 Works
 
Hifenac tablet belongs to non-steroidal anti-inflammatory (NSAID) class of drug. It acts by preventing the release of pain and inflammation-causing chemical messengers (redness and swelling).",,"Side effects of Hifenac 1 MG Tablet 1
 
The majority of side effects are minor and will go away as your body adjusts to the medicine. If they don't go away or you're concerned about them, see your doctor.
Adverse effects of Hifenac
Vomiting
Stomach pain/epigastric pain
Nausea
Indigestion
Diarrhea
Heartburn
Loss of appetit",,653,"Corporate House, Near Sola Bridge, S. G. Highway, Thaltej, Ahmedabad 3854, Gujarat, India",Intas Pharmaceuticals Ltd,"About Hifenac 1 MG Tablet 1
 
Hifenac Tablet is a narcotic pain reliever. Rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis all benefit from it since it reduces pain and inflammation.
Hifenac Tablet should be taken according to your doctor's instructions for dosage and duration. To avoid stomach distress, it should be taken with food or milk. It is more effective if you take the medicine on a regular basis and at the appropriate periods. it is critical to continue taking the medicine until your doctor says it is safe to quit.","Uses of Hifenac 1 MG Tablet 1
 
Hifenac tablet is used as a Pain reliever","Directions to use Hifenac 1 MG Tablet 1
 
Follow your doctor's instructions on the dosage and duration of this medicine. Take it all in at once. It should not be chewed, crushed, or broken. Hifenac tablet should be consumed with food.",d,e,f
100946,Acerap 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A100946,A100462,,,Rapross Pharmaceuticals Pvt Ltd,67,53.6,20%,8,88%,No,Hi. Look Acerap 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,994,,Rapross Pharmaceuticals Pvt Ltd,,,,d,e,f
128382,Equidol 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A128382,A100462,,,Akumentis Healthcare Ltd,75,60,20%,8,89%,No,Hi. Look Equidol 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,77,,Akumentis Healthcare Ltd,,,,d,e,f
130260,Fico 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A130260,A100462,,,Emcure Pharmaceuticals Ltd,77.5,62,20%,8,90%,No,Hi. Look Fico 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,498,,Emcure Pharmaceuticals Ltd,,,,d,e,f
140832,Mahanac 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A140832,A100462,,,Zuventus Healthcare Ltd,81.35,65.08,20%,8,90%,No,Hi. Look Mahanac 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,138,,Zuventus Healthcare Ltd,,,,d,e,f
103739,Algesia 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A103739,A100462,,,Macleods Pharmaceuticals Pvt.ltd,87.92,70.34,20%,8,91%,No,Hi. Look Algesia 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,752,,Macleods Pharmaceuticals Pvt.ltd,,,,d,e,f
101430,Aclofen 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A101430,A100462,,,Indswift Laboratories Ltd.,88.65,70.92,20%,8,91%,No,Hi. Look Aclofen 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,643,,Indswift Laboratories Ltd.,,,,d,e,f
100844,Acenal Safe 100 MG Tablet 10,49,ACECLOFENAC (100 MG),A100844,A100462,,,Regenix Drugs Ltd,94,75.2,20%,8,91%,No,Hi. Look Acenal Safe 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,16,,Regenix Drugs Ltd,,,,d,e,f
155811,Safeact Plus 48/100/90/100 MG Tablet 10,50,ACECLOFENAC (100 MG) + BROMELAIN (90 MG) + RUTOSIDE (100 MG) + TRYPSIN-CHYMOTRYPSIN (48 MG),A155811,A155811,This is already the recommended alternative,,Sh Pharmaceuticals Ltd,150,120,20%,120,20%,Yes,Hi. Look Safeact Plus 48/100/90/100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,183,"H.No.6-3-348, Midtown Complex, B-Block, 6th Floor, Rd Number 1, Dwarakapuri, Punjagutta, Hyderabad, Telangana 534",Sh Pharmaceuticals Ltd,,,,d,e,f
124670,Delpoflex A 48/100/90/100 MG Tablet 10,50,ACECLOFENAC (100 MG) + BROMELAIN (90 MG) + RUTOSIDE (100 MG) + TRYPSIN-CHYMOTRYPSIN (48 MG),A124670,A155811,,,Delcure Life Sciences,191.5,153.2,20%,120,37%,No,Hi. Look Delpoflex A 48/100/90/100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,442,,Delcure Life Sciences,,,,d,e,f
128384,Equidol Forte 48/100/90/100 MG Tablet 10,50,ACECLOFENAC (100 MG) + BROMELAIN (90 MG) + RUTOSIDE (100 MG) + TRYPSIN-CHYMOTRYPSIN (48 MG),A128384,A155811,,,Akumentis Healthcare Ltd,223.3,178.64,20%,120,46%,No,Hi. Look Equidol Forte 48/100/90/100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,77,,Akumentis Healthcare Ltd,,,,d,e,f
162857,Tufnol 48/100/90/100 MG Tablet 10,50,ACECLOFENAC (100 MG) + BROMELAIN (90 MG) + RUTOSIDE (100 MG) + TRYPSIN-CHYMOTRYPSIN (48 MG),A162857,A155811,,,Bion Thearapeutics,299,239.2,20%,120,60%,No,Hi. Look Tufnol 48/100/90/100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,295,,Bion Thearapeutics,,,,d,e,f
125345,Diecold Plus Tablet 10,51,ACECLOFENAC (100 MG) + CAFFEINE (25 MG) + CETIRIZINE (10 MG) + PARACETAMOL/ACETAMINOPHEN (325 MG) + PHENYLEPHRINE HYDROCHLORIDE (5 MG),A125345,A125345,This is already the recommended alternative,,Leeford Healthcare,60,29.9,50%,29.9,50%,Yes,Hi. Look Diecold Plus Tablet 10 is available at 50% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,725,,Leeford Healthcare,,,,d,e,f
103422,Aldigesic Cold And Flu Tablet 10,52,ACECLOFENAC (100 MG) + CAFFEINE (25 MG) + CETIRIZINE (5 MG) + PARACETAMOL/ACETAMINOPHEN (325 MG) + PHENYLEPHRINE HYDROCHLORIDE (5 MG),A103422,A103422,This is already the recommended alternative,,Alkem Laboratories Ltd.,80,72,10%,72,10%,Yes,Hi. Look Aldigesic Cold And Flu Tablet 10 is available at 10% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,99,,Alkem Laboratories Ltd.,,,,d,e,f
101538,Acnac 100/250/250 MG Tablet Mr 10,53,ACECLOFENAC (100 MG) + CHLORZOXAZONE (250 MG) + PARACETAMOL/ACETAMINOPHEN (250 MG),A101538,A101538,This is already the recommended alternative,,Atishya Biotech,75,60,20%,60,20%,Yes,Hi. Look Acnac 100/250/250 MG Tablet Mr 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,28,,Atishya Biotech,,,,d,e,f
140824,Mahagesic Acp 100/325/250 MG Tablet 10,54,ACECLOFENAC (100 MG) + CHLORZOXAZONE (250 MG) + PARACETAMOL/ACETAMINOPHEN (325 MG),A140824,A140824,This is already the recommended alternative,,Mankind Pharmaceuticals Ltd.,18.75,15,20%,15,20%,Yes,Hi. Look Mahagesic Acp 100/325/250 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,765,"28, Okhla Industrial Estate, Phase-III, New Delhi South Delhi DL 112 IN",Mankind Pharmaceuticals Ltd.,,,,d,e,f
101243,Acimol Mr  100/325/250 MG Tablet 10,54,ACECLOFENAC (100 MG) + CHLORZOXAZONE (250 MG) + PARACETAMOL/ACETAMINOPHEN (325 MG),A101243,A140824,,https://url.mcro.site/cache/plugins/filepreviewer/6545/e4a89c1de37d8913d3bcc2fe2ec5cdb8c82c7463d10bb850e0cfc67520af2183/280x280_middle.jpg,Leeford Healthcare,65,32.4,50%,15,77%,No,Hi. Look Acimol Mr  100/325/250 MG Tablet 10 is available at 50% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Acimol Mr  1/325/25 MG Tablet 1 Works
 
Acimol MR Tablet contains two pain relievers (aceclofenac and paracetamol) as well as a muscle relaxant (Chlorzoxazone). Painkillers function by preventing the production of particular chemical messengers in the brain that cause inflammation and pain (redness and swelling). The muscle relaxant acts on the brain and spinal cord's centres to reduce muscle stiffness and spasms, allowing muscles to move more freely.",,"Side effects of Acimol Mr  1/325/25 MG Tablet 1
 
The majority of side effects are minor and will go away as your body adjusts to the medicine. If they don't go away or you're concerned about them, see your doctor.
Adverse effects of Acimol MR Tablet
Nausea
Vomiting
Heartburn
Stomach pain
Diarrhea
Loss of appetite
Tiredness
Sleepines",,725,"Leo House, Shaheed Bhagat Singh Nagar, Dugri Dhandra Road, Near Joseph School Ludhiana PB 1412 IN",Leeford Healthcare,"About Acimol Mr  1/325/25 MG Tablet 1
 
Acimol MR Tablet is a combination medicine used to treat muscle discomfort. It works by preventing the production of chemical messengers responsible for pain, inflammation, and fever. This promotes muscle movement while also providing pain and discomfort relief.
With food, Acimol MR Tablet can be consumed with food. The dosage and duration of treatment will be determined by the severity of your problem. Even if you feel better, you should remain taking the prescription until your doctor says it is okay to stop.","Uses of Acimol Mr  1/325/25 MG Tablet 1
 
Acimol MR Tablet is used in Treatment of Muscular pain","Directions to use Acimol Mr  1/325/25 MG Tablet 1
 
Follow your doctor's instructions on the dosage and duration of this medicine. Take it all in at once. It should not be chewed, crushed, or broken. Acimol MR Tablet can be taken with food, however it is best if you take it at the same time every day.",d,e,f
144938,Neo Alcinac Mr Tablet 10,54,ACECLOFENAC (100 MG) + CHLORZOXAZONE (250 MG) + PARACETAMOL/ACETAMINOPHEN (325 MG),A144938,A140824,,,Leeford Healthcare,65,32.4,50%,15,77%,No,Hi. Look Neo Alcinac Mr Tablet 10 is available at 50% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,725,"Leo House, Shaheed Bhagat Singh Nagar, Dugri Dhandra Road, Near Joseph School Ludhiana PB 1412 IN",Leeford Healthcare,,,,d,e,f
101501,Aclotec 100/325/250 MG Tablet Mr 10,54,ACECLOFENAC (100 MG) + CHLORZOXAZONE (250 MG) + PARACETAMOL/ACETAMINOPHEN (325 MG),A101501,A140824,,,Targof Pure Drugs Td.,42.5,34,20%,15,65%,No,Hi. Look Aclotec 100/325/250 MG Tablet Mr 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,1171,,Targof Pure Drugs Td.,,,,d,e,f
100874,Acenol 100/325/250 MG Tablet Mr 10,54,ACECLOFENAC (100 MG) + CHLORZOXAZONE (250 MG) + PARACETAMOL/ACETAMINOPHEN (325 MG),A100874,A140824,,,Braveheart Healthcare Pvt.ltd,42.86,34.29,20%,15,65%,No,Hi. Look Acenol 100/325/250 MG Tablet Mr 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,326,,Braveheart Healthcare Pvt.ltd,,,,d,e,f
100188,Abate Cz 100/325/250 MG Tablet 10,54,ACECLOFENAC (100 MG) + CHLORZOXAZONE (250 MG) + PARACETAMOL/ACETAMINOPHEN (325 MG),A100188,A140824,,,Genesis Biotech Inc.,45,36,20%,15,67%,No,Hi. Look Abate Cz 100/325/250 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,558,"SCF 437, New Motor Market, Sector 13, Chandigarh, Haryana 1611",Genesis Biotech Inc.,,,,d,e,f
100714,Aceflow Mr 100/325/250 MG Tablet 10,54,ACECLOFENAC (100 MG) + CHLORZOXAZONE (250 MG) + PARACETAMOL/ACETAMINOPHEN (325 MG),A100714,A140824,,,B L Pharma Limited,45,36,20%,15,67%,No,Hi. Look Aceflow Mr 100/325/250 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,245,,B L Pharma Limited,,,,d,e,f
